days_since_purchase,total_spend,subscription_type,churn
25,542.8,0,0
2,688.3,1,0
62,29.3,1,0
57,317.8,0,0
61,268.6,0,0
20,153.1,0,0
26,190.2,0,0
25,293.0,1,0
89,194.2,0,0
48,765.3,1,0
43,195.6,0,0
72,1620.6,0,0
25,179.7,1,0
55,173.0,0,1
146,211.0,0,0
99,122.0,0,0
54,210.1,0,0
45,149.5,0,0
60,435.8,0,0
108,168.2,0,1
103,108.0,0,1
120,184.6,0,1
50,238.7,0,0
4,201.1,0,0
140,1279.2,0,0
21,465.1,1,0
71,78.8,0,1
4,399.7,0,0
43,310.2,0,0
32,367.4,0,0
120,397.7,0,1
54,634.5,0,0
42,222.8,0,1
59,312.8,1,0
1,176.1,1,0
24,382.8,1,0
28,123.7,0,0
66,99.7,0,1
17,1033.4,1,0
48,236.3,0,0
39,361.9,0,0
26,153.1,0,0
27,906.0,0,0
39,270.6,1,0
6,697.4,0,0
72,469.9,1,0
21,264.9,0,0
34,321.1,0,0
117,234.6,0,1
73,222.6,0,1
14,396.2,1,0
1,46.2,1,0
61,198.9,0,0
35,566.8,1,0
49,461.9,0,0
72,1416.1,1,0
80,509.8,0,1
30,484.2,0,0
38,328.2,0,0
56,578.2,0,0
58,284.5,0,1
48,264.0,0,0
109,350.6,1,0
58,569.5,0,0
71,267.2,0,0
51,357.2,0,0
17,164.7,0,0
24,1121.4,1,0
14,198.0,0,0
86,336.6,1,0
9,625.5,1,0
37,631.1,0,0
31,276.2,0,0
30,566.1,1,0
33,164.6,1,0
123,404.0,1,1
5,560.9,1,0
100,690.1,0,1
35,80.6,0,0
76,108.3,0,1
44,68.5,1,0
15,90.4,0,0
106,593.5,0,0
96,160.8,0,1
16,269.2,0,0
64,112.2,0,1
25,229.9,1,0
10,808.8,0,0
21,429.8,1,0
102,388.4,0,0
77,234.3,0,0
33,711.9,1,0
103,699.0,1,0
91,214.2,0,0
21,333.6,1,0
119,610.1,0,1
31,268.3,0,0
34,194.8,0,0
6,206.1,0,0
25,175.8,0,0
37,265.8,0,0
52,180.5,0,1
15,265.3,0,0
22,142.5,0,1
121,436.2,1,0
87,371.7,0,1
98,418.5,0,0
40,489.6,1,0
54,519.3,0,0
65,281.7,0,0
120,336.4321212121212,0,1
9,158.8,0,0
27,580.4,1,0
50,217.6,1,0
45,48.2,0,0
22,198.2,1,0
61,611.4,1,0
28,406.8,0,0
42,403.5,1,0
59,1028.6,0,0
29,437.7,1,0
73,171.3,1,0
82,121.8,0,1
23,376.2,0,0
28,672.8,0,0
18,260.9,0,0
41,447.3,1,0
52,464.3,1,0
32,1054.4,0,0
51,499.0,0,0
27,583.9,0,0
28,127.2,0,0
54,166.9,0,0
30,156.4,0,0
40,282.8,1,0
56,276.4,0,0
51,327.0,0,0
28,321.3,1,0
88,153.5,0,1
63,136.5,1,0
50,457.0,1,0
15,427.1,0,0
45,225.0,0,0
25,57.0,0,0
60,495.5,0,0
1,217.7,0,0
34,78.0,0,0
27,258.4,0,0
73,518.9,0,0
6,188.5,0,1
43,23.8,1,0
62,208.9,0,0
135,147.1,0,1
28,294.5,0,0
53,341.9,1,0
6,175.7,0,0
41,217.3,1,0
92,811.0,1,0
136,374.7,0,1
57,476.2,1,0
9,476.3,0,0
103,216.3,0,1
9,735.9,0,0
14,329.4,0,0
108,283.9,0,1
39,424.3,1,0
25,208.4,0,0
69,153.0,0,0
47,553.2,0,0
87,96.7,0,1
49,135.8,1,0
50,240.1,0,1
85,128.3,0,0
39,57.1,0,0
19,101.2,0,0
71,131.5,0,1
33,442.1,1,0
52,226.2,0,0
5,638.0,1,0
38,96.2,0,0
27,111.7,0,0
5,303.7,0,0
38,191.9,1,1
40,260.1,1,0
55,102.4,0,0
91,124.9,1,0
82,185.9,1,0
29,510.5,0,0
48,76.2,0,1
60,551.0,0,0
29,478.1,0,1
10,227.8,1,0
35,341.0,1,0
94,321.7,0,0
9,411.8,0,0
17,111.6,0,0
21,579.0,1,0
17,361.7,1,0
69,154.6,1,0
24,364.6,1,0
70,117.8,0,1
43,255.4,0,0
7,181.7,0,0
30,378.9,1,0
83,303.9,0,0
47,601.8,0,0
32,395.5,0,1
95,452.7,1,0
16,53.7,0,0
25,499.4,0,0
78,187.8,0,1
68,133.2,1,0
14,1198.3,1,0
59,147.5,0,1
24,839.1,1,0
4,324.6,0,0
32,376.3,0,0
141,334.1,1,1
84,121.8,0,0
40,556.1,1,0
9,400.7,1,0
4,305.0,0,0
43,274.2,0,0
56,212.8,0,0
69,429.9,0,0
64,369.3,0,0
68,602.1,1,0
51,220.2,0,0
93,268.8,1,0
27,169.1,0,0
43,363.9,1,0
7,56.4,0,0
26,1216.7,0,0
83,155.2,0,1
66,588.1,0,0
2,239.9,1,0
148,391.6,0,1
47,778.0,0,0
48,376.6,0,0
25,748.7,0,0
30,734.6,1,0
47,336.4321212121212,1,0
64,562.2,1,0
53,336.1,0,0
27,144.9,0,0
19,692.7,1,0
18,93.4,0,0
87,662.8,1,0
80,567.3,1,0
59,369.6,1,0
87,161.5,0,1
38,428.3,0,0
75,52.0,1,0
62,137.0,0,1
77,260.0,0,0
16,284.5,0,0
51,181.9,1,0
31,185.7,1,0
3,385.0,0,0
97,117.6,0,1
80,197.3,0,1
54,120.9,1,0
20,270.8,0,0
7,223.0,0,0
3,47.0,1,0
26,99.2,1,0
68,796.9,1,0
32,194.8,1,0
60,342.3,0,0
62,110.7,0,0
68,875.7,1,0
5,68.3,1,0
22,744.4,1,0
59,368.9,1,0
111,420.6,0,1
91,619.1,0,0
52,410.4,1,0
97,792.7,0,0
52,796.0,1,0
9,534.8,1,0
67,712.7,1,0
93,263.6,0,0
134,122.7,0,1
26,1106.2,0,0
14,277.3,0,0
76,326.8,0,0
57,80.1,0,0
53,644.7,0,0
98,320.5,0,0
75,384.8,0,0
61,422.0,0,0
28,146.4,0,0
71,823.1,1,0
14,345.8,0,0
52,38.9,0,0
41,549.7,0,0
8,318.8,1,0
57,159.7,0,0
26,58.7,0,1
56,197.4,0,1
18,336.4321212121212,0,0
76,590.5,0,0
123,169.0,0,1
14,71.8,0,0
18,504.0,1,0
11,793.9,1,0
35,207.9,0,0
55,896.4,0,0
68,708.6,1,0
51,647.2,0,0
67,379.9,0,0
39,350.4,0,0
25,162.9,0,0
18,998.0,1,0
36,890.4,1,0
19,1012.3,1,0
54,264.7,0,0
19,210.7,0,0
28,458.0,0,0
87,187.6,0,0
93,266.9,0,0
91,57.8,1,1
40,426.5,1,0
26,410.5,0,0
60,854.0,1,0
19,611.2,1,0
71,526.1,0,0
24,857.8,0,0
35,139.0,0,0
72,118.6,0,1
6,311.9,0,0
25,138.0,1,0
55,343.9,0,0
64,109.8,0,1
56,131.0,0,0
35,59.5,0,1
77,421.9,1,0
18,109.7,1,0
17,392.7,0,0
54,439.0,0,0
16,152.7,0,0
125,481.7,0,1
26,445.0,0,0
76,564.9,0,0
13,141.9,0,0
108,137.0,0,0
42,423.0,0,0
25,336.4321212121212,0,0
33,330.2,0,0
22,671.7,0,0
35,504.6,0,0
14,579.1,1,0
26,534.4,1,0
75,534.7,0,0
49,236.3,0,0
17,103.0,0,0
36,168.5,0,0
93,151.3,0,1
29,18.7,1,0
16,411.6,0,0
62,212.7,0,1
4,239.5,0,0
33,177.0,0,0
99,267.8,0,0
35,959.4,1,0
80,58.4,0,1
15,1076.8,1,0
34,418.6,1,0
31,186.6,0,0
60,205.0,0,1
44,129.0,0,0
108,39.2,0,1
27,110.5,0,0
43,349.2,1,0
32,336.4321212121212,0,0
41,375.7,0,0
38,231.9,1,0
19,159.2,0,0
72,1320.8,1,0
24,131.9,0,0
22,139.1,0,0
9,687.3,1,0
27,444.3,0,0
23,256.4,1,0
5,610.7,1,0
35,381.0,1,0
104,179.9,0,1
11,423.9,0,0
41,353.8,1,0
34,54.6,1,0
65,551.4,1,0
69,243.2,0,0
157,699.9,0,0
50,629.9,1,0
21,310.0,0,0
26,262.3,1,0
28,346.6,1,0
24,126.2,0,0
122,402.9,1,0
66,955.4,1,0
59,894.9,0,0
16,777.4,1,0
68,297.2,0,1
89,93.3,1,0
35,254.6,0,0
26,658.2,1,0
109,468.4,0,0
23,236.6,0,0
21,289.0,1,0
18,355.1,0,0
39,278.9,0,0
50,329.6,1,0
81,317.6,1,0
61,654.0,0,0
60,111.8,0,0
98,212.3,0,1
17,221.8,0,0
10,303.1,0,0
63,354.2,1,0
38,336.9,1,0
81,153.6,1,0
40,353.8,1,0
25,416.5,0,0
64,310.7,0,0
44,109.9,0,0
40,289.2,0,0
176,275.9,0,1
93,267.7,1,0
70,313.1,0,0
45,163.3,0,0
43,429.1,0,0
33,1117.4,1,0
49,454.7,0,0
28,142.3,0,0
14,413.2,0,0
40,631.2,1,0
52,351.1,0,0
81,490.0,1,0
21,330.1,1,0
43,95.0,0,0
61,241.1,0,0
60,162.4,1,0
118,225.4,0,1
33,175.5,0,0
19,153.1,1,0
45,828.1,1,0
35,348.8,1,0
30,234.4,1,0
27,61.6,0,0
52,468.7,0,0
24,413.5,1,0
70,336.4321212121212,0,0
67,152.7,0,0
55,784.3,1,0
17,241.0,0,0
50,130.7,0,0
85,197.0,0,1
73,292.4,0,1
66,180.5,0,1
42,98.1,0,0
41,126.8,0,0
94,388.3,0,0
51,147.2,1,0
52,161.8,0,0
209,152.0,1,1
33,323.9,0,0
4,1242.2,0,0
36,490.2,1,0
38,146.8,0,0
51,420.7,1,0
59,154.3,0,0
5,393.0,1,0
60,687.6,0,0
40,335.1,1,0
34,339.9,0,0
8,345.9,1,0
107,496.7,0,1
30,421.4,0,0
67,265.1,1,0
21,421.6,0,0
52,304.1,0,0
34,248.6,1,0
65,193.8,0,0
33,297.6,0,0
20,336.4,0,0
41,307.6,1,0
