user_id,days_since_purchase,total_spend,subscription_type,churn
1,25,542.8,Basic,0
2,2,688.3,Premium,0
3,62,29.3,Premium,0
4,57,317.8,Basic,0
5,61,268.6,Basic,0
6,20,153.1,Basic,0
7,26,190.2,Basic,0
8,25,293.0,Premium,0
9,89,194.2,Basic,0
10,48,765.3,Premium,0
11,43,195.6,Basic,0
12,72,1620.6,,0
13,25,179.7,Premium,0
14,55,173.0,Basic,1
15,146,211.0,Basic,0
16,99,122.0,Basic,0
17,54,210.1,Basic,0
18,45,149.5,Basic,0
19,60,435.8,Basic,0
20,108,168.2,Basic,1
21,103,108.0,Basic,1
22,120,184.6,Basic,1
23,50,238.7,Basic,0
24,4,201.1,Basic,0
25,140,1279.2,Basic,0
26,21,465.1,Premium,0
27,71,78.8,Basic,1
28,4,399.7,Basic,0
29,43,310.2,Basic,0
30,32,367.4,Basic,0
31,120,397.7,Basic,1
32,54,634.5,Basic,0
33,42,222.8,Basic,1
34,59,312.8,Premium,0
35,1,176.1,Premium,0
36,24,382.8,Premium,0
37,28,123.7,Basic,0
38,66,99.7,Basic,1
39,17,1033.4,Premium,0
40,48,236.3,Basic,0
41,39,361.9,Basic,0
42,26,153.1,Basic,0
43,27,906.0,Basic,0
44,39,270.6,Premium,0
45,6,697.4,Basic,0
46,72,469.9,Premium,0
47,21,264.9,Basic,0
48,34,321.1,Basic,0
49,117,234.6,Basic,1
50,73,222.6,Basic,1
51,14,396.2,Premium,0
52,1,46.2,Premium,0
53,61,198.9,,0
54,35,566.8,Premium,0
55,49,461.9,Basic,0
56,72,1416.1,Premium,0
57,80,509.8,Basic,1
58,30,484.2,Basic,0
59,38,328.2,Basic,0
60,56,578.2,Basic,0
61,58,284.5,Basic,1
62,48,264.0,Basic,0
63,109,350.6,Premium,0
64,58,569.5,Basic,0
65,71,267.2,Basic,0
66,51,357.2,Basic,0
67,17,164.7,Basic,0
68,24,1121.4,Premium,0
69,14,198.0,Basic,0
70,86,336.6,Premium,0
71,9,625.5,Premium,0
72,37,631.1,Basic,0
73,31,276.2,Basic,0
74,30,566.1,Premium,0
75,33,164.6,Premium,0
76,123,404.0,Premium,1
77,5,560.9,Premium,0
78,100,690.1,Basic,1
79,35,80.6,Basic,0
80,76,108.3,Basic,1
81,44,68.5,Premium,0
82,15,90.4,Basic,0
83,106,593.5,Basic,0
84,96,160.8,Basic,1
85,16,269.2,Basic,0
86,64,112.2,Basic,1
87,25,229.9,Premium,0
88,10,808.8,Basic,0
89,21,429.8,Premium,0
90,102,388.4,Basic,0
91,77,234.3,Basic,0
92,33,711.9,Premium,0
93,103,699.0,Premium,0
94,91,214.2,Basic,0
95,21,333.6,Premium,0
96,119,610.1,Basic,1
97,31,268.3,Basic,0
98,34,194.8,Basic,0
99,6,206.1,Basic,0
100,25,175.8,Basic,0
101,37,265.8,Basic,0
102,52,180.5,Basic,1
103,15,265.3,Basic,0
104,22,142.5,Basic,1
105,121,436.2,Premium,0
106,87,371.7,Basic,1
107,98,418.5,Basic,0
108,40,489.6,Premium,0
109,54,519.3,Basic,0
110,65,281.7,Basic,0
111,120,,Basic,1
112,9,158.8,Basic,0
113,27,580.4,Premium,0
114,50,217.6,Premium,0
115,45,48.2,Basic,0
116,22,198.2,Premium,0
117,61,611.4,Premium,0
118,28,406.8,Basic,0
119,42,403.5,Premium,0
120,59,1028.6,Basic,0
121,29,437.7,Premium,0
122,73,171.3,Premium,0
123,82,121.8,Basic,1
124,23,376.2,Basic,0
125,28,672.8,Basic,0
126,18,260.9,Basic,0
127,41,447.3,Premium,0
128,52,464.3,Premium,0
129,32,1054.4,Basic,0
130,51,499.0,Basic,0
131,27,583.9,Basic,0
132,28,127.2,Basic,0
133,54,166.9,Basic,0
134,30,156.4,Basic,0
135,40,282.8,Premium,0
136,56,276.4,Basic,0
137,51,327.0,Basic,0
138,28,321.3,Premium,0
139,88,153.5,Basic,1
140,63,136.5,Premium,0
141,50,457.0,Premium,0
142,15,427.1,Basic,0
143,45,225.0,Basic,0
144,25,57.0,Basic,0
145,60,495.5,Basic,0
146,1,217.7,Basic,0
147,34,78.0,Basic,0
148,27,258.4,Basic,0
149,73,518.9,Basic,0
150,6,188.5,Basic,1
151,43,23.8,Premium,0
152,62,208.9,Basic,0
153,135,147.1,Basic,1
154,28,294.5,Basic,0
155,53,341.9,Premium,0
156,6,175.7,Basic,0
157,41,217.3,Premium,0
158,92,811.0,Premium,0
159,136,374.7,Basic,1
160,57,476.2,Premium,0
161,9,476.3,Basic,0
